program_type,taxon,common_name,genus_name,species_name,scientific_name,subspecies
SSP,Bird,"Swan, Trumpeter",Cygnus,buccinator,Cygnus buccinator,
SSP,Mammal,"Takin, Sichuan",Budorcas,taxicolor,Budorcas taxicolor,tibetana
SSP,Mammal,"Tamandua, Southern ",Tamandua,tetradactyla,Tamandua tetradactyla,straminea
SSP,Mammal,"Tamarin, Bearded Emperor",Tamarinus,subgrisescens,Tamarinus subgrisescens,
SSP,Mammal,"Tamarin, Cotton-Top",Oedipomidas,oedipus,Oedipomidas oedipus,
SSP,Mammal,"Tamarin, Golden Lion",Leontopithecus,rosalia,Leontopithecus rosalia,
SSP,Bird,"Tanager, Blue-Grey",Tangara,episcopus,Tangara episcopus,
SSP,Bird,"Tanager, Silver-Beaked",Ramphocelus,carbo,Ramphocelus carbo,
SSP,Bird,"Tanager, Turquoise",Tangara,mexicana,Tangara mexicana,
SSP,Mammal,"Tapir, Malayan (Asian)",Tapirus,indicus,Tapirus indicus,
SSP,Bird,"Teal, Marbled",Marmaronetta,angustirostris,Marmaronetta angustirostris,
SSP,Mammal,"Tenrec, Lesser Madagascar Hedgehog",Echinops,telfairi,Echinops telfairi,
SSP,Bird,"Tern, Inca",Larosterna,inca,Larosterna inca,
SSP,Mammal,"Tiger, Amur",Panthera,tigris,Panthera tigris,altaica
SSP,Mammal,"Tiger, Malayan",Panthera,tigris,Panthera tigris,jacksoni
SSP,Mammal,"Tiger, Sumatran",Panthera,tigris,Panthera tigris,sumatrae
SSP,Reptile,"Tortoise, African Pancake",Malacochersus,tornieri,Malacochersus tornieri,
SSP,Reptile,"Tortoise, Burmese Black",Manouria,emys,Manouria emys,phayrei
SSP,Reptile,"Tortoise, Burmese Brown Mountain",Manouria,emys,Manouria emys,emys
SSP,Reptile,"Tortoise, Burmese Star",Geochelone,platynota,Geochelone platynota,
SSP,Reptile,"Tortoise, Egyptian",Testudo,kleinmanni,Testudo kleinmanni,
SSP,Reptile,"Tortoise, Galapagos (microphyes)",Chelonoidis,microphyes,Chelonoidis microphyes,
SSP,Reptile,"Tortoise, Home's Hinge-Back",Kinixys,homeana,Kinixys homeana,
SSP,Reptile,"Tortoise, Madagascar Flat-Tailed",Pyxis,planicauda,Pyxis planicauda,
SSP,Reptile,"Tortoise, Madagascar Spider (Common)",Pyxis,arachnoides,Pyxis arachnoides,arachnoides
SSP,Reptile,"Tortoise, Madagascar Spider (Northern)",Pyxis,arachnoides,Pyxis arachnoides,brygooi
SSP,Reptile,"Tortoise, Radiated",Astrochelys,radiata,Astrochelys radiata,
SSP,Bird,"Toucan, Keel-Billed",Ramphastos,sulfuratus,Ramphastos sulfuratus,
SSP,Bird,"Toucan, Toco",Ramphastos,toco,Ramphastos toco,
SSP,Bird,"Tragopan, Cabot's",Tragopan,caboti,Tragopan caboti,
SSP,Mammal,"Tree Kangaroo, Matschie's",Dendrolagus,matschiei,Dendrolagus matschiei,
SSP,Mammal,"Tree Shrew, Northern ",Tupaia,belangeri,Tupaia belangeri,
SSP,Bird,"Troupial, Venezuelan",Icterus,icterus,Icterus icterus,
