taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Bird,"Vulture, Cinereous",Aegypius,monachus,Aegypius monachus,NT,Decreasing,Global
Bird,"Vulture, King",Sarcoramphus,papa,Sarcoramphus papa,LC,Decreasing,Global
Mammal,"Wallaby, Bennett's (Red-necked)",Notamacropus,rufogriseus,Notamacropus rufogriseus,LC,Stable,Global
Mammal,"Wallaby, Tammar",Notamacropus,eugenii,Notamacropus eugenii,LC,Stable,Global
Mammal,"Wallaroo, Common",Osphranter,robustus,Osphranter robustus,LC,Stable,Global
Mammal,"Warthog, Common",Phacochoerus,africanus,Phacochoerus africanus,LC,Decreasing,Global
Bird,"Weaver, White-Headded Buffalo",Dinemellia,dinemelli,Dinemellia dinemelli,LC,Stable,Global
Mammal,"Wolf, Maned",Chrysocyon,brachyurus,Chrysocyon brachyurus,NT,Unknown,Global
Bird,"Woodhoopoe, Green",Phoeniculus,purpureus,Phoeniculus purpureus,LC,Decreasing,Global
Mammal,"Zebra, Grevy's",Equus,grevyi,Equus grevyi,EN,Stable,Global
Mammal,"Zebra, Hartmann's Mountain",Equus,zebra,Equus zebra,VU,Increasing,Global
Mammal,"Zebra, Plains",Equus,quagga,Equus quagga,NT,Decreasing,Global
