taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Bird,"Cassowary, Southern (Double-wattled)",Casuarius,casuarius,Casuarius casuarius,LC,Decreasing,Global
Mammal,"Cat, Pallas",Otocolobus,manul,Otocolobus manul,LC,Decreasing,Global
Mammal,"Cat, Sand",Felis,margarita,Felis margarita,LC,Unknown,Global
Mammal,Cheetah,Acinonyx,jubatus,Acinonyx jubatus,VU ,Decreasing,Global
Mammal,Chimpanzee,Pan,troglodytes,Pan troglodytes,EN,Decreasing,Global
Reptile,"Chuckwalla, San Esteban",Sauromalus,varius,Sauromalus varius,VU,Unknown,Global
Reptile,"Cobra, King",Ophiophagus,hannah,Ophiophagus hannah,VU,Decreasing,Global
Mammal,"Colobus, Angolan",Colobus,angolensis,Colobus angolensis,VU,Decreasing,Global
Mammal,"Colobus, Guereza",Colobus,guereza,Colobus guereza,LC,Decreasing,Global
Bird,"Condor, Andean",Vultur,gryphus,Vultur gryphus,VU,Decreasing,Global
Bird,"Coua, Crested",Coua,cristata,Coua cristata,LC,Decreasing,Global
Bird,"Crane, Black Crowned",Balearica,pavonina,Balearica pavonina,VU,Decreasing,Global
Bird,"Crane, Demoiselle",Anthropoides,virgo,Anthropoides virgo,LC,Increasing,Global
Bird,"Crane, Grey-Crowned",Balearica,regulorum,Balearica regulorum,EN,Decreasing,Global
Bird,"Crane, Red-Crowned",Grus,japonensis,Grus japonensis,VU,Decreasing,Global
Bird,"Crane, Wattled",Bugeranus,carunculatus,Bugeranus carunculatus,VU,Decreasing,Global
Bird,"Crane, White-Naped",Grus,vipio,Grus vipio,VU,Decreasing,Global
Bird,"Curassow, Blue-Billed",Crax,alberti,Crax alberti,CR,Decreasing,Global
Bird,"Curassow, Helmeted",Pauxi,pauxi,Pauxi pauxi,VU,Decreasing,Global
Mammal,"Deer, Western Tufted",Elaphodus,cephalophus,Elaphodus cephalophus,NT,Decreasing,Global
Bird,"Dikkop, Spotted",Burhinus,capensis,Burhinus capensis,LC,Unknown,Global
Mammal,"Dog, African Painted",Lycaon,pictus,Lycaon pictus,EN,Decreasing,Global
Bird,"Dove, Beautiful Fruit",Ptilinopus,pulchellus,Ptilinopus pulchellus,LC,Decreasing,Global
Bird,"Dove, Black-Naped Fruit",Ptilinopus,melanospilus,Ptilinopus melanospilus,LC,Decreasing,Global
Bird,"Dove, Luzon Bleeding Heart",Gallicolumba,luzonica,Gallicolumba luzonica,NT,Decreasing,Global
Bird,"Dove, Mindanao Bleeding Heart",Gallicolumba,crinigera,Gallicolumba crinigera,VU,Decreasing,Global
Reptile,"Dragon, Komodo",Varanus,komodoensis,Varanus komodoensis,EN,Stable,Global
Bird,"Duck, Spotted Whistling",Dendrocygna,guttata,Dendrocygna guttata,LC,Stable,Global
Bird,West Indian Whistling,Dendrocygna,arborea,Dendrocygna arborea,NT,Decreasing,Global
Mammal,"Duiker, Blue",Philantomba,monticola,Philantomba monticola,LC,Decreasing,Global
Mammal,"Duiker, Yellow-Backed",Cephalophus,silvicultor,Cephalophus silvicultor,NT,Decreasing,Global
Mammal,"Elephant, African",Loxodonta,africana,Loxodonta africana,EN,Decreasing,Global
Mammal,"Elephant, Asian",Elephas,maximus,Elephas maximus,EN,Decreasing,Global
Bird,"Flamingo, Caribbean",Phoenicopterus,ruber,Phoenicopterus ruber,LC,Increasing,Global
Bird,"Flamingo, Chilean",Phoenicopterus,chilensis,Phoenicopterus chilensis,NT,Decreasing,Global
Bird,"Flamingo, Greater",Phoenicopterus,roseus,Phoenicopterus roseus,LC,Increasing,Global
Bird,"Flamingo, Lesser",Phoeniconaias,minor,Phoeniconaias minor,NT,Decreasing,Global
Mammal,Fossa,Cryptoprocta,ferox,Cryptoprocta ferox,VU,Decreasing,Global
Mammal,"Fox, Bat-Eared",Otocyon,megalotis,Otocyon megalotis,LC,Stable,Global
Mammal,"Fox, Fennec",Vulpes,zerda,Vulpes zerda,LC,Stable,Global
Mammal,"Fox, Swift",Vulpes,velox,Vulpes velox,LC,Stable,Global
Amphibian,"Frog, Panamanian Golden (Ahogado)",Atelopus,zeteki,Atelopus zeteki,CR,Decreasing,Global
Amphibian,"Frog, Panamanian Golden (Sora)",Atelopus,zeteki,Atelopus zeteki,CR,Decreasing,Global
Bird,"Frogmouth, Tawny",Podargus,strigoides,Podargus strigoides,LC,Stable,Global
Mammal,"Galago, Southern Lesser",Galago,moholi,Galago moholi,LC,Stable,Global
Mammal,"Gazelle, Addra",Nanger,dama,Nanger dama,CR,Decreasing,Global
Reptile,"Gecko, Giant Leaf-Tailed",Uroplatus,fimbriatus,Uroplatus fimbriatus,LC,Decreasing,Global
Reptile,"Gecko, Henkel's Leaf-Tailed",Uroplatus,henkeli,Uroplatus henkeli,VU,Unknown,Global
Reptile,"Gharial, Sunda",Tomistoma,schlegelii,Tomistoma schlegelii,EN,Decreasing,Global
Mammal,"Gibbon, Lar (White-Handed)",Hylobates,lar,Hylobates lar,EN,Decreasing,Global
Mammal,"Gibbon, White-Cheeked",Nomascus,leucogenys,Nomascus leucogenys,CR,Decreasing,Global
Mammal,"Giraffe, Generic",Giraffa,camelopardalis,Giraffa camelopardalis,VU,Decreasing,Global
Mammal,"Giraffe, Masai",Giraffa,camelopardalis,Giraffa camelopardalis,VU,Decreasing,Global
Bird,"Goose, African Pygmy",Nettapus,auritus,Nettapus auritus,LC,Stable,Global
Bird,"Goose, Red-Breasted",Branta,ruficollis,Branta ruficollis,VU,Decreasing,Global
Bird,"Goose, Swan",Anser,cygnoid,Anser cygnoid,EN,Decreasing,Global
Mammal,"Gorilla, Western Lowland",Gorilla,gorilla,Gorilla gorilla,CR,Decreasing,Global
Bird,"Guineafowl, Crested",Guttera,pucherani,Guttera pucherani,LC,Stable,Global
Bird,Hamerkop,Scopus,umbretta,Scopus umbretta,LC,Stable,Global
Bird,"Heron, Boat-Billed",Cochlearius,cochlearius,Cochlearius cochlearius,LC,Decreasing,Global
Mammal,"Hippopotamus, Pygmy",Choeropsis,liberiensis,Choeropsis liberiensis,EN,Decreasing,Global
